F-JW1-TUE,F-JW2-TUE,F-JW3-TUE,F-JW4-TUE,Euclidean Barycenter
62.713,406.542,383.309,411.764,316.082
83.801,348.112,366.882,405.862,301.16425000000004
57.18,358.192,346.831,434.244,299.11175000000003
57.759,361.097,356.157,431.434,301.61175
90.412,352.522,328.819,403.924,293.91925
55.994,340.594,331.653,376.544,276.19624999999996
61.92,330.501,336.502,338.377,266.825
55.971,363.58,308.811,375.756,276.0295
64.696,324.359,314.333,356.118,264.87649999999996
30.388,329.291,326.292,351.429,259.35
46.432,349.33,335.184,340.317,267.81575
34.212,311.698,295.271,348.643,247.45600000000002
34.431,315.428,297.251,323.812,242.73049999999998
6.862,332.609,302.828,344.733,246.75799999999998
-3.587,323.088,287.769,328.038,233.827
18.323,326.794,313.388,308.002,241.62674999999996
-1.161,320.938,314.746,318.958,238.37025
25.24,324.609,356.548,319.51,256.47675
10.456,324.693,332.991,361.582,257.4305
25.068,307.296,343.312,354.777,257.61325
4.087,307.307,305.313,373.947,247.6635
-4.718,281.358,319.84,348.486,236.2415
-21.457,285.47,309.423,313.791,221.80675000000002
1.077,279.587,346.38,303.842,232.7215
-0.032,322.479,333.303,302.603,239.58825000000002
6.957,297.252,342.284,313.753,240.06149999999997
-23.231,281.987,313.662,307.323,219.93525
-53.793,233.023,332.526,235.704,186.865
-64.744,218.262,304.793,251.057,177.342
-13.826,207.86,330.944,268.249,198.30675000000002
-19.517,187.209,338.451,319.638,206.44525
-17.866,227.201,376.857,322.646,227.2095
4.12,252.359,423.786,393.294,268.38975
26.304,280.221,484.513,445.333,309.09275
71.832,269.927,536.566,498.674,344.24975
147.464,274.438,564.15,522.303,377.08875
140.359,290.409,589.284,526.086,386.5345
169.443,262.041,585.379,564.558,395.35525
166.453,257.759,585.203,540.364,387.44475
128.773,272.348,606.729,587.899,398.93725
166.913,362.524,589.353,590.29,427.27
169.292,367.986,590.221,638.851,441.5875
160.589,384.748,596.789,603.888,436.50350000000003
165.792,348.773,603.664,616.537,433.6915
162.287,361.639,616.262,642.688,445.71900000000005
161.152,373.203,595.091,691.849,455.32375
161.549,377.819,616.772,678.379,458.62975000000006
160.86,376.603,597.673,673.277,452.10325
167.014,396.516,605.917,703.746,468.29825000000005
173.759,386.994,591.917,694.037,461.67675
174.723,383.516,600.332,663.549,455.53
161.633,365.309,601.961,672.862,450.44124999999997
186.041,350.229,612.783,682.658,457.92774999999995
183.578,365.832,602.339,675.748,456.87425
176.867,377.596,582.206,747.011,470.91999999999996
175.264,383.313,608.429,734.043,475.26225
186.78,401.167,581.631,742.516,478.0235
188.16,407.929,601.143,746.603,485.95875
187.706,416.566,628.697,731.252,491.05525
194.937,379.179,632.186,740.102,486.601
196.289,378.157,657.249,738.201,492.474
183.156,377.177,622.163,672.831,463.83175000000006
184.878,376.907,635.266,685.959,470.75249999999994
184.14,377.683,629.969,670.424,465.554
197.91,364.874,638.301,641.139,460.55600000000004
189.094,349.324,619.578,643.632,450.40700000000004
179.754,338.778,599.287,575.106,423.23125
174.451,340.189,498.102,545.111,389.46325
187.007,358.711,452.531,500.247,374.624
197.536,359.603,411.75,491.032,364.98025
195.166,349.982,420.591,464.757,357.624
158.103,311.231,378.471,430.399,319.55100000000004
152.548,307.056,360.482,405.754,306.46000000000004
96.287,312.657,369.796,429.271,302.00275
131.106,355.858,418.567,452.014,339.38625
175.127,373.199,455.267,515.018,379.65275
157.416,337.466,433.943,504.569,358.3485
162.881,362.136,434.362,515.39,368.69225000000006
167.454,350.558,473.162,506.749,374.48075
169.468,368.638,468.532,518.483,381.28024999999997
163.579,358.72,480.459,502.539,376.32425
158.314,356.234,471.307,504.987,372.7105
162.547,338.032,486.434,454.613,360.4065
144.261,345.206,475.512,461.562,356.63525000000004
92.34,362.939,467.784,444.602,341.91625
89.964,362.457,476.944,458.068,346.85825
83.343,384.653,478.618,427.822,343.60900000000004
115.132,357.319,470.372,440.667,345.8725
109.684,405.493,468.367,435.53,354.7685
116.914,382.114,461.406,456.246,354.16999999999996
97.124,370.188,468.147,445.576,345.25875
87.112,397.228,458.342,433.454,344.034
100.334,393.488,429.289,455.149,344.565
85.358,405.207,437.859,448.62,344.26099999999997
108.019,383.654,431.856,420.169,335.92449999999997
98.608,391.154,399.537,420.842,327.53525
