F-JW1-SUN,F-JW2-SUN,F-JW3-SUN,Euclidean Barycenter
290.539,318.743,369.659,326.3136666666666
277.741,336.461,358.853,324.3516666666667
287.837,322.653,382.409,330.96633333333335
273.367,306.012,360.511,313.2966666666667
285.334,304.191,362.006,317.17699999999996
258.52,343.007,325.361,308.9626666666667
287.932,310.16,352.372,316.82133333333337
298.258,312.677,332.6,314.51166666666666
294.179,302.993,321.617,306.263
271.728,243.35,319.688,278.25533333333334
271.802,258.801,310.11,280.2376666666667
286.502,212.431,327.467,275.46666666666664
272.819,230.147,321.856,274.9406666666667
310.083,237.607,271.787,273.15900000000005
270.148,252.219,276.859,266.40866666666665
281.418,218.467,251.436,250.44033333333334
273.809,235.271,267.101,258.72700000000003
293.744,253.209,261.287,269.41333333333336
289.784,220.71,238.991,249.82833333333335
298.751,233.249,252.033,261.34433333333334
283.68,236.708,246.46,255.616
294.097,222.004,257.196,257.7656666666667
293.202,218.994,223.13,245.10866666666666
301.389,235.684,236.913,257.99533333333335
291.702,255.21,224.267,257.0596666666667
271.494,222.12,247.498,247.03733333333335
260.357,200.842,168.167,209.7886666666667
243.174,152.853,122.212,172.74633333333335
242.492,132.14,128.986,167.87266666666665
222.301,113.254,140.096,158.55033333333333
223.486,146.48,138.382,169.44933333333333
197.754,171.249,174.538,181.18033333333332
258.536,169.752,240.824,223.03733333333335
251.949,214.241,232.796,232.99533333333338
252.043,203.089,249.401,234.84433333333334
255.472,217.077,280.382,250.977
366.304,227.869,285.773,293.31533333333334
388.79,305.61,315.877,336.759
356.672,309.398,359.181,341.75033333333334
332.744,348.299,304.358,328.46700000000004
369.524,355.417,333.139,352.6933333333333
352.837,367.0,343.318,354.385
335.091,408.143,369.448,370.89399999999995
360.133,412.406,382.841,385.1266666666667
332.278,369.107,354.767,352.0506666666667
396.467,431.64,410.114,412.74033333333335
414.712,454.966,405.244,424.974
376.646,453.297,411.668,413.8703333333333
379.037,436.703,420.978,412.2393333333334
395.962,442.233,447.713,428.63599999999997
372.463,432.033,439.187,414.561
381.923,445.493,441.761,423.05899999999997
408.771,457.914,432.232,432.9723333333333
424.084,448.17,423.398,431.884
405.501,443.536,428.687,425.9080000000001
386.626,442.021,449.102,425.9163333333333
385.048,433.586,423.304,413.9793333333334
375.658,433.909,410.448,406.6716666666666
366.213,456.002,414.497,412.2373333333333
370.551,451.987,404.318,408.952
379.007,461.501,415.417,418.64166666666665
398.091,433.336,414.85,415.4256666666667
404.037,429.076,402.008,411.70700000000005
381.112,413.388,417.607,404.03566666666666
367.831,416.189,420.547,401.52233333333334
371.954,407.747,414.482,398.061
370.247,410.621,398.591,393.15299999999996
340.352,402.272,393.482,378.702
354.853,403.807,389.44,382.70000000000005
354.881,401.751,392.384,383.00533333333334
331.008,410.497,391.926,377.81033333333335
349.552,375.659,386.306,370.5056666666667
325.186,344.73,377.796,349.2373333333333
325.973,337.199,400.619,354.59700000000004
337.073,373.709,441.239,384.007
377.49,425.819,485.21,429.5063333333333
367.258,416.958,456.851,413.689
375.638,410.471,452.71,412.93966666666665
385.231,388.914,428.931,401.0253333333333
369.619,412.747,445.708,409.358
385.814,411.757,436.666,411.4123333333334
370.457,417.483,458.41,415.45000000000005
385.566,421.027,433.17,413.2543333333333
319.409,416.158,425.262,386.943
344.842,427.9,400.37,391.0373333333334
343.046,461.944,434.918,413.30266666666665
370.9,440.941,439.25,417.0303333333333
364.591,434.291,412.84,403.9073333333333
343.653,419.45,434.463,399.1886666666667
364.409,428.261,409.497,400.7223333333334
338.254,429.388,428.061,398.56766666666664
346.834,433.466,431.024,403.7746666666667
380.662,428.192,436.942,415.26533333333333
350.116,415.283,395.254,386.88433333333336
358.351,397.994,352.923,369.75600000000003
366.649,384.638,349.737,367.00800000000004
