,F-JW1-TUE,F-JW2-TUE,F-JW3-TUE,F-JW4-TUE
00:00:00,62.713,406.542,383.309,411.764
00:15:00,83.801,348.112,366.882,405.862
00:30:00,57.18,358.192,346.831,434.244
00:45:00,57.759,361.097,356.157,431.434
01:00:00,90.412,352.522,328.819,403.924
01:15:00,55.994,340.594,331.653,376.544
01:30:00,61.92,330.501,336.502,338.377
01:45:00,55.971,363.58,308.811,375.756
02:00:00,64.696,324.359,314.333,356.118
02:15:00,30.388,329.291,326.292,351.429
02:30:00,46.432,349.33,335.184,340.317
02:45:00,34.212,311.698,295.271,348.643
03:00:00,34.431,315.428,297.251,323.812
03:15:00,6.862,332.609,302.828,344.733
03:30:00,-3.587,323.088,287.769,328.038
03:45:00,18.323,326.794,313.388,308.002
04:00:00,-1.161,320.938,314.746,318.958
04:15:00,25.24,324.609,356.548,319.51
04:30:00,10.456,324.693,332.991,361.582
04:45:00,25.068,307.296,343.312,354.777
05:00:00,4.087,307.307,305.313,373.947
05:15:00,-4.718,281.358,319.84,348.486
05:30:00,-21.457,285.47,309.423,313.791
05:45:00,1.077,279.587,346.38,303.842
06:00:00,-0.032,322.479,333.303,302.603
06:15:00,6.957,297.252,342.284,313.753
06:30:00,-23.231,281.987,313.662,307.323
06:45:00,-53.793,233.023,332.526,235.704
07:00:00,-64.744,218.262,304.793,251.057
07:15:00,-13.826,207.86,330.944,268.249
07:30:00,-19.517,187.209,338.451,319.638
07:45:00,-17.866,227.201,376.857,322.646
08:00:00,4.12,252.359,423.786,393.294
08:15:00,26.304,280.221,484.513,445.333
08:30:00,71.832,269.927,536.566,498.674
08:45:00,147.464,274.438,564.15,522.303
09:00:00,140.359,290.409,589.284,526.086
09:15:00,169.443,262.041,585.379,564.558
09:30:00,166.453,257.759,585.203,540.364
09:45:00,128.773,272.348,606.729,587.899
10:00:00,166.913,362.524,589.353,590.29
10:15:00,169.292,367.986,590.221,638.851
10:30:00,160.589,384.748,596.789,603.888
10:45:00,165.792,348.773,603.664,616.537
11:00:00,162.287,361.639,616.262,642.688
11:15:00,161.152,373.203,595.091,691.849
11:30:00,161.549,377.819,616.772,678.379
11:45:00,160.86,376.603,597.673,673.277
12:00:00,167.014,396.516,605.917,703.746
12:15:00,173.759,386.994,591.917,694.037
12:30:00,174.723,383.516,600.332,663.549
12:45:00,161.633,365.309,601.961,672.862
13:00:00,186.041,350.229,612.783,682.658
13:15:00,183.578,365.832,602.339,675.748
13:30:00,176.867,377.596,582.206,747.011
13:45:00,175.264,383.313,608.429,734.043
14:00:00,186.78,401.167,581.631,742.516
14:15:00,188.16,407.929,601.143,746.603
14:30:00,187.706,416.566,628.697,731.252
14:45:00,194.937,379.179,632.186,740.102
15:00:00,196.289,378.157,657.249,738.201
15:15:00,183.156,377.177,622.163,672.831
15:30:00,184.878,376.907,635.266,685.959
15:45:00,184.14,377.683,629.969,670.424
16:00:00,197.91,364.874,638.301,641.139
16:15:00,189.094,349.324,619.578,643.632
16:30:00,179.754,338.778,599.287,575.106
16:45:00,174.451,340.189,498.102,545.111
17:00:00,187.007,358.711,452.531,500.247
17:15:00,197.536,359.603,411.75,491.032
17:30:00,195.166,349.982,420.591,464.757
17:45:00,158.103,311.231,378.471,430.399
18:00:00,152.548,307.056,360.482,405.754
18:15:00,96.287,312.657,369.796,429.271
18:30:00,131.106,355.858,418.567,452.014
18:45:00,175.127,373.199,455.267,515.018
19:00:00,157.416,337.466,433.943,504.569
19:15:00,162.881,362.136,434.362,515.39
19:30:00,167.454,350.558,473.162,506.749
19:45:00,169.468,368.638,468.532,518.483
20:00:00,163.579,358.72,480.459,502.539
20:15:00,158.314,356.234,471.307,504.987
20:30:00,162.547,338.032,486.434,454.613
20:45:00,144.261,345.206,475.512,461.562
21:00:00,92.34,362.939,467.784,444.602
21:15:00,89.964,362.457,476.944,458.068
21:30:00,83.343,384.653,478.618,427.822
21:45:00,115.132,357.319,470.372,440.667
22:00:00,109.684,405.493,468.367,435.53
22:15:00,116.914,382.114,461.406,456.246
22:30:00,97.124,370.188,468.147,445.576
22:45:00,87.112,397.228,458.342,433.454
23:00:00,100.334,393.488,429.289,455.149
23:15:00,85.358,405.207,437.859,448.62
23:30:00,108.019,383.654,431.856,420.169
23:45:00,98.608,391.154,399.537,420.842
