,P-FW1-WED,P-FW2-WED,P-FW3-WED,P-FW4-WED
0,10676.323,11513.81,11806.935,11658.252
1,10484.696,11317.238,11638.399,11505.698
2,10280.929,10968.642,11477.364,11288.114
3,10106.805,10897.337,11340.57,11140.199
4,9866.625,10630.875,11089.535,11080.312
5,9812.46,10520.628,10996.065,10907.166
6,9755.141,10551.984,10890.792,10868.547
7,9663.63,10340.551,10772.65,10790.362
8,9582.65,10219.331,10654.831,10569.771
9,9508.635,10086.648,10578.487,10496.041
10,9332.8,10127.269,10503.54,10367.899
11,9349.914,10004.711,10480.873,10292.072
12,9231.63,9954.726,10298.467,10283.745
13,9254.349,9921.295,10293.314,10258.823
14,9224.839,9886.473,10219.293,10177.956
15,9039.872,9858.752,10228.221,10198.059
16,9060.65,9762.373,10237.658,10276.785
17,9074.207,9823.624,10230.313,10255.301
18,9070.884,9878.99,10317.687,10250.997
19,9348.51,9882.953,10387.217,10439.577
20,9592.326,10185.351,10888.627,10802.78
21,9752.963,10286.121,10974.668,11017.961
22,10058.698,10354.001,11257.47,11195.513
23,10331.014,10682.713,9930.443,11247.546
24,10460.608,10829.7,13188.144,11649.117
25,10516.036,10887.55,13367.546,11634.026
26,10458.44,10798.622,13470.405,11634.706
27,10456.016,10807.875,13278.874,11517.737
28,10322.879,10916.381,13161.447,11397.405
29,10242.47,10986.401,13322.347,11390.935
30,10146.883,10978.296,13259.473,11543.474
31,9949.066,11050.974,13275.967,11293.854
32,10014.114,11417.956,13394.975,11548.077
33,10191.279,11719.804,13739.893,11586.914
34,10377.488,11859.337,14173.684,11937.973
35,10490.313,12000.217,14290.701,12031.707
36,10881.43,12303.195,14638.104,12189.614
37,10968.958,12538.191,14768.189,12504.755
38,11232.441,12775.84,15086.856,12559.688
39,11315.438,12900.153,15252.261,12781.478
40,11562.787,12973.094,15437.933,13014.758
41,11636.772,13166.712,15726.168,13174.63
42,11675.543,12524.055,15767.887,13267.836
43,11650.445,13217.076,15862.498,13318.21
44,11952.33,13364.798,16037.176,13450.964
45,12039.775,13529.208,16183.952,13643.77
46,12099.655,13618.41,16205.018,13703.656
47,11723.859,13407.873,15961.845,13498.164
48,11871.379,13544.045,16168.322,13673.275
49,12389.776,13892.518,16397.072,14156.943
50,12416.042,14054.279,16403.258,14015.731
51,12513.101,14124.172,16414.791,14086.539
52,12609.312,14316.941,16629.952,13993.106
53,12650.57,14135.458,16553.67,14158.273
54,12575.114,14239.084,16585.729,14225.042
55,12528.218,14200.782,16665.445,14190.541
56,12515.67,14259.138,16567.234,14326.042
57,12459.113,14251.952,16554.915,14263.625
58,12548.349,14101.983,16464.882,14067.681
59,12564.789,14112.71,16472.201,14087.13
60,12462.872,14167.467,16604.145,14091.029
61,12557.672,14161.35,16622.88,14265.412
62,12474.857,14156.842,16441.755,13934.022
63,12534.83,14232.771,16469.028,13999.791
64,12455.229,13931.206,16085.588,13788.219
65,12408.672,13774.836,15951.517,13629.089
66,12165.006,13575.937,15594.192,13278.163
67,12032.638,13351.395,15529.651,13053.163
68,11978.487,13203.812,15360.873,13077.231
69,11848.113,12915.669,15091.287,13029.983
70,11763.078,12961.967,14984.019,12810.612
71,11997.494,12827.973,15105.868,12895.966
72,12158.777,13106.302,15028.708,13140.569
73,12530.893,13557.892,15516.615,13565.154
74,13346.51,14140.597,16506.32,14386.566
75,13736.44,14930.432,16923.628,15020.141
76,13942.152,14980.984,17183.333,15225.076
77,13908.767,14988.334,17251.368,15281.275
78,13855.371,15166.238,17343.178,15524.931
79,13979.465,15094.177,17355.628,15515.644
80,13859.221,15011.533,17098.306,15574.181
81,13773.462,14940.582,17369.627,15400.864
82,13487.792,14702.511,17279.353,15302.071
83,13283.806,14762.666,17293.643,14971.648
84,13171.693,14313.968,17166.05,14827.958
85,12939.009,14157.138,16869.376,14692.811
86,12646.572,13824.104,16507.199,14566.379
87,12867.107,13572.254,16323.918,14035.109
88,12412.563,13267.681,15810.983,13740.905
89,12139.808,13046.417,15286.672,13602.457
90,11852.157,12866.683,15171.841,13222.232
91,11656.781,12700.473,14918.42,13148.231
92,11467.052,12255.516,14665.656,12697.291
93,11211.405,12047.813,14302.535,12528.188
94,11102.352,11868.777,14142.408,12226.643
95,10831.833,11643.587,12882.43,11984.879
