,Q-JW1-TUE,Q-JW2-TUE,Q-JW3-TUE,Q-JW4-TUE
00:00:00,360.229,336.322,294.48,291.43
00:15:00,365.572,319.533,291.091,278.137
00:30:00,378.224,298.447,305.883,313.667
00:45:00,345.822,284.166,293.016,276.616
01:00:00,385.343,297.29,274.941,310.257
01:15:00,369.506,292.709,296.697,284.074
01:30:00,380.253,301.698,282.09,324.908
01:45:00,356.282,260.52,288.461,304.221
02:00:00,366.736,282.921,273.62,322.236
02:15:00,340.902,287.39,269.671,298.638
02:30:00,357.597,267.487,273.058,302.487
02:45:00,335.36,262.553,272.02,308.011
03:00:00,357.971,264.761,254.746,259.14
03:15:00,329.702,272.723,255.678,301.212
03:30:00,356.009,260.942,255.961,265.813
03:45:00,324.871,257.094,256.326,279.216
04:00:00,327.216,269.126,274.218,270.188
04:15:00,322.344,262.363,233.12,290.897
04:30:00,341.478,276.03,260.427,264.532
04:45:00,349.184,225.25,267.9,253.374
05:00:00,320.586,237.432,259.842,265.387
05:15:00,333.068,230.792,231.218,253.562
05:30:00,357.871,217.817,231.426,263.168
05:45:00,341.903,209.504,255.624,273.433
06:00:00,320.132,232.792,249.388,250.84
06:15:00,366.796,241.021,245.082,264.17
06:30:00,285.032,218.649,199.937,201.727
06:45:00,315.396,204.972,202.162,193.769
07:00:00,337.679,166.419,183.744,178.398
07:15:00,332.437,198.938,199.267,198.581
07:30:00,368.68,229.756,242.531,234.186
07:45:00,417.171,272.194,263.487,310.548
08:00:00,458.94,347.872,343.186,381.318
08:15:00,499.872,471.208,468.783,396.927
08:30:00,520.594,561.197,487.97,425.023
08:45:00,527.938,444.976,481.042,472.704
09:00:00,579.31,472.313,518.922,572.296
09:15:00,567.476,498.743,616.113,609.531
09:30:00,588.868,541.952,648.377,609.599
09:45:00,575.628,560.948,611.508,593.243
10:00:00,630.332,582.881,626.931,559.63
10:15:00,619.248,562.927,611.519,575.058
10:30:00,626.857,592.494,589.706,592.496
10:45:00,633.626,582.517,607.321,584.117
11:00:00,640.121,611.769,646.947,589.397
11:15:00,645.106,570.579,663.183,565.774
11:30:00,633.234,600.573,689.36,581.537
11:45:00,647.806,588.353,684.064,560.938
12:00:00,663.578,596.693,702.27,568.011
12:15:00,660.108,587.279,671.718,577.912
12:30:00,671.999,582.409,679.304,589.908
12:45:00,657.794,600.619,709.598,594.812
13:00:00,668.694,608.704,717.643,591.779
13:15:00,633.702,590.404,733.76,607.144
13:30:00,691.071,615.242,728.59,610.373
13:45:00,705.61,618.426,727.414,595.64
14:00:00,681.67,615.113,719.166,619.963
14:15:00,692.963,605.916,708.677,612.878
14:30:00,669.67,579.504,728.069,613.249
14:45:00,671.359,592.016,721.691,608.09
15:00:00,692.363,587.561,724.834,591.17
15:15:00,704.748,593.774,722.011,598.574
15:30:00,721.486,611.394,683.382,625.947
15:45:00,705.813,602.168,689.347,604.94
16:00:00,702.398,610.487,667.22,595.52
16:15:00,637.579,592.383,650.291,583.281
16:30:00,648.289,571.347,618.953,568.452
16:45:00,581.766,535.922,539.068,532.641
17:00:00,572.674,420.232,461.95,510.589
17:15:00,557.446,356.662,468.784,472.132
17:30:00,507.197,346.011,463.476,470.91
17:45:00,475.51,311.643,422.137,457.533
18:00:00,485.182,311.164,428.289,425.759
18:15:00,522.43,310.348,423.812,418.416
18:30:00,520.213,330.296,465.118,463.346
18:45:00,519.772,333.278,432.269,476.496
19:00:00,514.756,312.204,425.422,466.572
19:15:00,479.3,303.116,435.044,437.747
19:30:00,492.112,316.629,444.647,439.707
19:45:00,509.263,328.47,432.25,441.834
20:00:00,518.142,307.801,432.148,444.427
20:15:00,533.28,285.797,402.052,401.101
20:30:00,529.324,333.513,447.558,439.512
20:45:00,502.237,305.568,455.322,428.796
21:00:00,534.757,329.011,474.737,426.322
21:15:00,529.38,325.477,501.156,392.708
21:30:00,499.258,332.264,480.193,381.729
21:45:00,466.84,327.984,438.347,387.02
22:00:00,450.663,349.322,340.066,373.497
22:15:00,451.247,296.312,335.701,319.539
22:30:00,450.377,281.928,350.2,301.592
22:45:00,421.966,240.061,320.718,299.543
23:00:00,480.131,225.961,352.724,296.126
23:15:00,430.951,241.09,312.414,271.889
23:30:00,449.998,234.363,328.623,299.87
23:45:00,429.397,234.357,318.481,295.287
